ecosystem,package_name,version,label
pypi,hops-deltalake,1.4.0.post121,benign
pypi,keystone,29.0.2,benign
pypi,python-vagrant,1.0.0,benign
pypi,policyengine-us,1.784.4,benign
pypi,django-fake-model,0.1.4,benign
pypi,pyvistaqt,0.12.0,benign
pypi,usaddress-scourgify,0.6.0,benign
pypi,mypy-boto3-mediaconnect,1.43.35,benign
pypi,optimum,2.2.0,benign
pypi,tree-sitter-sql,0.3.11,benign
pypi,loop-rate-limiters,1.2.0,benign
npm,remark-lint-final-definition,4.0.2,benign
npm,@stacksjs/build,0.70.229,benign
npm,@vaadin/date-time-picker,25.2.6,benign
npm,@roadiehq/roadie-backstage-entity-validator,2.8.3,benign
npm,unpic,4.2.2,benign
npm,bull-arena,4.10.0,benign
npm,socket-post-message,1.0.3,benign
npm,lodash.startswith,4.2.1,benign
npm,tsx,4.23.1,benign
npm,react-rx,5.1.0,benign
npm,@swc/core-linux-x64-gnu,1.15.47,benign
