ecosystem,package_name,version,label
npm,@realty-front/dev-tools,1.13.1,malicious
npm,symphony-lib,1.0.1,malicious
npm,vxui-react,1.3.2,malicious
npm,discord.js-sound,1.0.3,malicious
npm,file_downloader_sakib,1.0.0,malicious
npm,bifinance-dev,19.4.9,malicious
npm,testhelloworldfromitaly,1.999.2,malicious
npm,dogbong,1.0.0,malicious
npm,updated-tricks-roblox-robux-generator-2023-new-khaw,5.2.7,malicious
npm,react-naming-convention,9.9.0,malicious
npm,goji-js-org,2.0.0,malicious
npm,sun-flare,1.0.9-latest.0,malicious
npm,github-loader,213.21.24,malicious
npm,elf-stats-mulled-nightcap-782,1.0.1,malicious
npm,angularrs,8.7.6,malicious
npm,ids-enterprise-ng,20.1.6,malicious
npm,@needl-ai/common,1.0.0,malicious
npm,@posthog/automatic-cohorts-plugin,0.0.8,malicious
npm,cyber.dhs.gov,9.1.1,malicious
npm,imran-dlmedia,1.0.1,malicious
npm,papapaapapapapapapaappaapaaaaa,99.99.99,malicious
npm,watch-cocaine-bear-full-movies-online-free-at-home-on-123movies,1.0.0,malicious
npm,dontsweatthetechnique,1.0.0,malicious
npm,plonkscript-vscode,0.0.2,malicious
npm,variables.css,1.0.0,malicious
npm,@point-frontend-library/oc-skeleton,9999.9999.9999,malicious
npm,getd-handler-api,0.0.1,malicious
npm,@espace-client-axafr/sticker-policy-list,1.0.0,malicious
npm,uflexreward-api,99.9.9,malicious
npm,skeletor-block-facetwp-filter,1.0.0,malicious
npm,vehicle-optionalproducts-ui,99.0.0,malicious
npm,seatable,11.8.1,malicious
npm,anton-downloader,1.0.0,malicious
npm,chai-as-elevated,7.0.5,malicious
npm,deepl-sync,99.0.0,malicious
npm,ozonex-sdk,1.0.2,malicious
npm,remark-preset-lint-crowdstrike,4.0.2,malicious
npm,typedecode,1.0.3,malicious
npm,advertising-shared,99.0.0,malicious
npm,otlp-transformer,213.21.24,malicious
npm,centurylink,4.1.1,malicious
npm,bookingcom-model,999.9.9,malicious
npm,e2e-frontend,1.0.0,malicious
npm,javascript-heap,1.0.0,malicious
npm,handtalk-test-app,1.0.0,malicious
npm,console3-dropdown,3.0.45,malicious
npm,comp-base-login,1.0.0,malicious
npm,4k-john-wick-chapter-4-fullmovies-online-at-homes-free-hd,1.0.0,malicious
npm,onnxruntime-reactnative-example,1.3.5,malicious
npm,chat-adapter-zoom,12.1.31,malicious
npm,cms-ti-components,9.9.9,malicious
npm,monorepo-lens,99.99.99,malicious
npm,@meziizana/frontend-logger,10.0.0,malicious
npm,updated-tricks-roblox-robux-generator-2023-get-verify_kidy6,5.2.7,malicious
npm,clipboard-drop,0.1.1,malicious
npm,@mastra/blaxel,0.4.2,malicious
npm,private-packages-sharing-sessionz,1.9.8,malicious
npm,atmos-design-system,1.0.3,malicious
npm,unexpected-steps,3.6.0,malicious
npm,side-view,0.7.1,malicious
npm,@mosfe/lion,0.0.3,malicious
npm,eslint-config-goldeneye,3.3.0-beta.8,malicious
npm,account-statement,35.0.0,malicious
npm,platform-tempo,99.0.1,malicious
npm,zip.js-2.8.2,99.0.0,malicious
npm,realtime-from-scratch,1.0.0,malicious
npm,woltpickerapp,40.6.2,malicious
npm,@antv/x6-angular-shape,3.1.1,malicious
npm,module-index-cache,1.0.1,malicious
npm,@oku-ui/separator,0.6.2,malicious
npm,e2e-test-utils-w,0.1.0,malicious
npm,chai-as-attached,1.4.5,malicious
npm,caterpillar-test,1.0.0,malicious
npm,@isimplelab/ng2-charts,10.12.14,malicious
