ecosystem,package_name,version,label
pypi,clearml-truen-patch,2.1.3.post6,malicious
npm,unpic,4.2.2,benign
npm,@krentzen/buffer-reverse,1.0.3,malicious
npm,socket-post-message,1.0.3,benign
pypi,optimum,2.2.0,benign
pypi,tree-sitter-sql,0.3.11,benign
pypi,cch-agent,0.1.2,malicious
npm,notifications-broadcast,99.9.1,malicious
npm,@stacksjs/build,0.70.229,benign
pypi,hops-deltalake,1.4.0.post121,benign
pypi,django-fake-model,0.1.4,benign
npm,bull-arena,4.10.0,benign
pypi,pyvistaqt,0.12.0,benign
npm,@vaadin/date-time-picker,25.2.6,benign
npm,remark-lint-final-definition,4.0.2,benign
npm,@digicroz/typed-api-kit,1.0.3,malicious
pypi,keystone,29.0.2,benign
pypi,python-vagrant,1.0.0,benign
npm,@chunklab/hexparse,1.1.7,malicious
pypi,policyengine-us,1.784.4,benign
npm,@swc/core-linux-x64-gnu,1.15.47,benign
pypi,dlty,0.0.10,malicious
npm,lodash.startswith,4.2.1,benign
pypi,wdt-erpmcp,0.1.7,malicious
npm,react-rx,5.1.0,benign
pypi,mypy-boto3-mediaconnect,1.43.35,benign
pypi,loop-rate-limiters,1.2.0,benign
npm,@roadiehq/roadie-backstage-entity-validator,2.8.3,benign
npm,tsx,4.23.1,benign
pypi,usaddress-scourgify,0.6.0,benign
