ecosystem,package_name,version,sem_sim_to_benign,sem_sim_to_malicious
npm,tsx,4.23.1,0.946252703666687,
npm,@roadiehq/roadie-backstage-entity-validator,2.8.3,0.9922167658805847,
pypi,loop-rate-limiters,1.2.0,0.9953383803367615,
pypi,usaddress-scourgify,0.6.0,0.9964189529418945,
npm,@stacksjs/build,0.70.229,0.992012083530426,
npm,remark-lint-final-definition,4.0.2,0.989813506603241,
npm,unpic,4.2.2,0.9904078841209412,
npm,bull-arena,4.10.0,0.9862031936645508,
npm,@vaadin/date-time-picker,25.2.6,0.9895074367523193,
npm,lodash.startswith,4.2.1,0.990432620048523,
pypi,python-vagrant,1.0.0,0.984837532043457,
npm,socket-post-message,1.0.3,0.9960559010505676,
pypi,django-fake-model,0.1.4,0.9854700565338135,
pypi,mypy-boto3-mediaconnect,1.43.35,0.9898943305015564,
pypi,optimum,2.2.0,0.9927114844322205,
pypi,hops-deltalake,1.4.0.post121,0.9889931082725525,
npm,react-rx,5.1.0,0.993177056312561,
